date,open,high,low,close,volume,money
2019-10-21,7.4,7.4,7.4,7.4,136151.0,1007517.0
2019-10-22,8.14,8.14,8.14,8.14,50933.0,414595.0
2019-10-23,8.95,8.95,8.95,8.95,84568.0,756884.0
2019-10-24,9.85,9.85,9.85,9.85,145651.0,1434662.0
2019-10-25,10.84,10.84,10.84,10.84,551535.0,5978639.0
2019-10-28,11.92,11.92,11.92,11.92,1504566.0,17934427.0
2019-10-29,13.11,13.11,13.11,13.11,959573.0,12580002.0
2019-10-30,14.42,14.42,14.42,14.42,661678.0,9541397.0
2019-10-31,15.86,15.86,15.86,15.86,1261535.0,20007945.0
2019-11-01,17.45,17.45,16.77,17.45,23634596.0,411417061.0
2019-11-04,18.58,19.2,17.8,19.1,30311880.0,568500533.0
2019-11-05,17.8,19.2,17.59,19.19,31973101.0,585441242.0
2019-11-06,19.11,19.92,17.65,18.45,26970475.0,505432507.0
2019-11-07,17.81,18.46,17.53,18.23,19459219.0,351870978.0
2019-11-08,18.32,20.05,18.02,20.05,23519714.0,451444363.0
2019-11-11,19.01,19.75,18.5,19.23,26395812.0,504628821.0
2019-11-12,19.03,21.15,18.84,20.09,30286587.0,609324630.0
2019-11-13,19.79,22.1,19.65,22.1,16329266.0,349650127.0
2019-11-14,23.78,24.31,21.7,21.77,42009280.0,990533658.0
2019-11-15,20.0,20.6,19.59,19.59,26448746.0,528913323.0
2019-11-18,19.0,19.97,18.26,19.88,23115718.0,436443827.0
2019-11-19,19.35,20.67,19.22,20.34,24722286.0,499412748.0
2019-11-20,20.08,20.77,19.36,19.52,18190884.0,361875649.0
2019-11-21,19.47,21.3,18.88,20.7,21688617.0,431842681.0
2019-11-22,20.52,22.4,20.03,21.75,26323851.0,557905558.0
2019-11-25,21.13,23.4,20.7,22.59,27406551.0,611762973.0
2019-11-26,21.86,22.0,20.33,20.33,18310647.0,380275927.0
2019-11-27,19.45,21.46,18.9,20.81,21695902.0,433834722.0
2019-11-28,20.98,22.1,20.68,21.23,23753274.0,510089093.0
2019-11-29,20.61,21.99,20.33,21.68,22973725.0,487157566.0
2019-12-02,21.8,22.2,20.9,21.39,17230088.0,369265229.0
2019-12-03,20.69,22.75,20.69,22.3,24869194.0,546329547.0
2019-12-04,22.5,22.8,21.86,21.88,20440581.0,452635817.0
2019-12-05,21.76,22.68,21.45,22.26,20679628.0,454731846.0
2019-12-06,22.26,22.57,21.59,21.6,19988299.0,440030408.0
2019-12-09,21.21,21.74,20.69,21.25,15824653.0,335649815.0
2019-12-10,21.35,21.48,20.44,20.75,17092278.0,356565987.0
2019-12-11,20.59,21.11,20.27,20.27,16030209.0,332667805.0
2019-12-12,19.94,19.94,19.13,19.28,15923972.0,309879017.0
2019-12-13,19.5,19.53,19.06,19.35,9789098.0,188935915.0
2019-12-16,19.3,19.55,19.08,19.51,9424687.0,182468615.0
2019-12-17,19.39,19.99,19.3,19.66,12822324.0,252156179.0
2019-12-18,19.56,19.78,19.34,19.39,10048877.0,196553122.0
2019-12-19,19.4,19.7,19.21,19.4,9867034.0,191656963.0
2019-12-20,19.22,19.39,18.31,18.37,12909891.0,242555749.0
2019-12-23,18.37,18.73,17.98,18.05,6825454.0,125488533.0
2019-12-24,18.25,18.26,17.75,18.23,7682105.0,138104079.0
2019-12-25,18.2,18.25,17.83,17.97,4992264.0,89802391.0
2019-12-26,18.07,18.48,18.05,18.24,7408990.0,135321089.0
2019-12-27,18.21,18.88,18.06,18.45,9981751.0,184287831.0
2019-12-30,18.06,18.25,16.61,17.3,8470481.0,147082956.62
2019-12-31,17.4,17.68,16.9,17.37,7658068.0,132136674.78
2020-01-02,17.4,18.1,17.33,18.0,9486667.0,169338499.97
2020-01-03,17.91,17.91,17.56,17.67,7682592.0,136086129.01
2020-01-06,17.35,17.56,17.1,17.47,5889479.0,102130935.62
2020-01-07,17.41,17.75,17.4,17.52,5233397.0,91861163.92
2020-01-08,17.39,17.66,17.11,17.17,5919270.0,102832880.2
2020-01-09,17.31,17.55,17.19,17.35,3744360.0,64832756.6
2020-01-10,17.48,17.48,17.15,17.26,4485800.0,77813424.8
2020-01-13,17.2,17.39,17.04,17.32,3167780.0,54570314.4
2020-01-14,17.36,17.77,17.32,17.59,6229596.0,109245025.34
2020-01-15,17.77,19.35,17.62,19.35,22464967.0,424923810.08
2020-01-16,19.35,19.39,17.43,18.28,19417683.0,355763652.54
2020-01-17,18.05,18.23,17.5,17.54,11308188.0,201366830.72
2020-01-20,17.54,17.56,16.66,16.82,9277745.0,156588207.29
2020-01-21,16.75,16.78,16.2,16.2,7508914.0,122910320.41
2020-01-22,16.02,16.22,15.7,15.88,5931573.0,94213600.73
2020-01-23,15.77,16.09,14.5,14.88,5939388.0,91365066.18
2020-02-03,13.39,13.39,13.39,13.39,718700.0,9623393.0
2020-02-04,12.05,12.88,12.05,12.57,8759115.0,108818812.51
2020-02-05,12.59,13.83,12.45,13.08,8272218.0,107935444.78
2020-02-06,13.3,13.82,12.82,13.58,8550720.0,113872769.02
2020-02-07,13.43,13.63,13.22,13.36,6311404.0,84490155.42
2020-02-10,13.36,14.7,13.35,14.7,13970830.0,200077640.68
2020-02-11,14.8,15.92,14.48,14.9,16925887.0,258161431.66
2020-02-12,14.24,15.39,14.15,14.95,11231654.0,165012004.32
2020-02-13,14.75,15.44,14.63,15.03,9994957.0,150970239.35
2020-02-14,14.89,16.24,14.86,15.99,14938655.0,231985172.68
2020-02-17,15.61,16.28,15.61,16.2,13956418.0,222572693.64
2020-02-18,16.0,16.15,15.53,15.88,11713400.0,185298076.39
2020-02-19,16.03,16.8,15.61,16.39,13641860.0,223012237.3
2020-02-20,16.28,16.55,16.05,16.4,9630531.0,156713121.89
2020-02-21,16.16,16.99,16.15,16.36,9615022.0,158765357.9
2020-02-24,16.45,18.0,16.03,18.0,18148066.0,306771534.3
2020-02-25,17.36,19.68,17.1,18.25,22919721.0,419941291.85
2020-02-26,17.65,20.08,17.41,20.08,26365496.0,512846199.18
2020-02-27,20.3,22.09,19.6,22.09,34034845.0,713015557.88
2020-02-28,19.9,23.08,19.88,19.88,27056806.0,574019225.65
2020-03-02,19.68,21.87,19.6,21.87,20430315.0,430010947.65
2020-03-03,23.0,24.06,21.4,24.06,29022569.0,657256410.56
2020-03-04,24.25,26.47,23.88,26.47,27445081.0,706110418.0
2020-03-05,27.8,29.12,26.88,29.12,22910547.0,642560367.86
